Ном.,Имя,Рейт,Результат,Имя.1,Рейт.1,Ном..1
11,Рахимкулов Ильнур,1154,1-0,Шаяхметов Арслан,1081,18
32,Тулумгужин Зуфар,1000,1-0,Заварихин Михаил,1025,20
19,Герунов Иван,1038,1-0,Ермаков Станислав,1000,26
16,Сагитов Ильназ,1091,0-1,Герунова Анна,1000,25
17,Ишкинина Самира,1088,+--,Мкртумян Арсен,1133,14
23,Мкртумян Эдуард,1004,+--,Мкртумян Марк,1018,22
30,Сафеев Булат,1000,0-1,Исхаков Ильшат,2063,1
3,Насыров Данил,1380,0-1,Ишкинин Филюс,1225,6
2,Скрынников Геннадий,1483,1-0,Рахимов Загир,1000,28
10,Ибрагимов Рафаэль,1178,0-1,Рябиков Эдуард,1000,29
24,Багаев Карим,1000,0-1,Сидоров  Андрей,1000,31
15,Ишкинина Юлия,1125,1-0,Алферов Роман,1139,13
4,Корсаков Тимур,1305,1-0,Корсаков Вадим,1217,7
5,Фоменко Матвей,1279,0-1,Герунов Иван,1038,19
32,Тулумгужин Зуфар,1000,1-0,Рахимкулов Ильнур,1154,11
9,Стрелкова Екатерина,1189,1-0,Ибрагимов Камиль,1216,8
27,Каранаев Рафис,1000,1-0,Мкртумян Давид,1020,21
12,Стрелкова Анастасия,1153,1-0,Заварихин Михаил,1025,20
17,Ишкинина Самира,1088,1-0,Мкртумян Эдуард,1004,23
25,Герунова Анна,1000,1-0,Шаяхметов Арслан,1081,18
14,Мкртумян Арсен,1133,--+,Сагитов Ильназ,1091,16
26,Ермаков Станислав,1000,+--,Мкртумян Марк,1018,22
1,Исхаков Ильшат,2063,1-0,Рябиков Эдуард,1000,29
6,Ишкинин Филюс,1225,1-0,Скрынников Геннадий,1483,2
31,Сидоров  Андрей,1000,1-0,Корсаков Тимур,1305,4
3,Насыров Данил,1380,1-0,Ишкинина Юлия,1125,15
19,Герунов Иван,1038,0-1,Сафеев Булат,1000,30
28,Рахимов Загир,1000,1-0,Ибрагимов Рафаэль,1178,10
24,Багаев Карим,1000,0-1,Тулумгужин Зуфар,1000,32
13,Алферов Роман,1139,0-1,Стрелкова Екатерина,1189,9
8,Ибрагимов Камиль,1216,0-1,Каранаев Рафис,1000,27
17,Ишкинина Самира,1088,½-½,Фоменко Матвей,1279,5
7,Корсаков Вадим,1217,0-1,Стрелкова Анастасия,1153,12
11,Рахимкулов Ильнур,1154,0-1,Герунова Анна,1000,25
21,Мкртумян Давид,1020,0-1,Сагитов Ильназ,1091,16
23,Мкртумян Эдуард,1004,0-1,Ермаков Станислав,1000,26
18,Шаяхметов Арслан,1081,1-0,Мкртумян Арсен,1133,14
20,Заварихин Михаил,1025,1-0,Мкртумян Марк,1018,22
31,Сидоров  Андрей,1000,0-1,Исхаков Ильшат,2063,1
30,Сафеев Булат,1000,½-½,Ишкинин Филюс,1225,6
32,Тулумгужин Зуфар,1000,0-1,Насыров Данил,1380,3
29,Рябиков Эдуард,1000,1-0,Рахимов Загир,1000,28
2,Скрынников Геннадий,1483,0-1,Каранаев Рафис,1000,27
4,Корсаков Тимур,1305,½-½,Стрелкова Екатерина,1189,9
25,Герунова Анна,1000,0-1,Ишкинина Юлия,1125,15
10,Ибрагимов Рафаэль,1178,0-1,Герунов Иван,1038,19
12,Стрелкова Анастасия,1153,½-½,Багаев Карим,1000,24
26,Ермаков Станислав,1000,0-1,Алферов Роман,1139,13
16,Сагитов Ильназ,1091,0-1,Ишкинина Самира,1088,17
5,Фоменко Матвей,1279,½-½,Рахимкулов Ильнур,1154,11
7,Корсаков Вадим,1217,½-½,Ибрагимов Камиль,1216,8
18,Шаяхметов Арслан,1081,0-1,Заварихин Михаил,1025,20
22,Мкртумян Марк,1018,0-1,Мкртумян Давид,1020,21
14,Мкртумян Арсен,1133,0-1,Мкртумян Эдуард,1004,23
